DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR
3789,  8912,9,4,8,0, 746, 5310,2,   0, 714,   0,   0,1223,   0,   0,   0, 800,   0,   0,   0,   0, 358,  0, 565,  0, 0, 65,0,  61, 0, 88,102,  0,  0,  0
3790, 14118,9,1,1,0, 706, 5915,5,   0, 282,   0, 703,   0,   0,   0, 487,   0,   0,   0,   0, 216,   0,  0, 152,  0, 0,  0,0,  31, 0, 99,  0, 19,  0,  0
3791, 17033,1,4,9,2,1603, 2043,2,   0,1947, 458,   0,   0,  72, 255,   0,   0,   0,   0, 160,   0,   0,  0,1359, 43, 0,  0,0, 211, 0,305,  0,  0,  0,450
3792,  9130,9,3,7,3,2834, 1566,2,   0, 669, 957,   0,   0,   0, 372,   0,   0,   0,   0, 450,   0,   0,  0, 502,135, 0,  0,0,  70, 0, 97, 54,  0,  0,  0
3793, 13185,9,4,9,2,1398,  911,2,   0, 903, 359,   0,   0,   0,  81,   0,   0,   0,   0, 200,   0,   0,  0, 656, 78, 0,  0,0,   0, 0,247,  0,  0,  0,  0
3794, 20401,9,2,3,0, 616, 6302,2,   0,1328,   0,   0, 202, 501,   0,   0, 202,   0, 223,   0,   0,   0,  0, 440,  0, 0,  0,0,  14, 0,150, 52, 17,  7,116
3795, 26445,1,2,3,0, 671, 6545,2,   0, 881,1358,   0,   0,   0, 814,   0,   0,   0,   0, 316,   0,   0,  0, 701,228, 0,  0,0,  62, 0,118,  0,  0, 89,  0
3796, 23800,9,2,3,0, 546, 7205,2,   0, 592, 730,   0,   0,   0, 730,   0,   0,   0, 213,   0,   0,   0,  0, 317,  0, 0,  0,0,   0, 0, 62, 42, 17,  0, 60
3797,  6720,9,1,1,0, 390, 6134,2,   0, 936, 466, 454,   0,   0,   0, 454,   0,   0,   0, 389,   0,   0,  0, 749, 77, 0,  0,0,  43, 0,144,128,  0,102, 92
3798, 26420,9,3,5,0,1729, 2397,3,   0, 169, 311,   0,   0,   0, 166,   0,   0,   0,   0, 117,   0,   0,  0,  75, 28, 0,  0,0,   0, 0, 94,  0,  0,  0,  0
